Iterations,Seconds,Score
10000,1512850278,16.534975
20000,1512850279,13.800204
30000,1512850279,12.651882
40000,1512850279,11.890432
50000,1512850279,11.418140
60000,1512850279,11.081923
70000,1512850280,10.675641
80000,1512850280,10.402548
90000,1512850280,10.115781
100000,1512850280,9.879313
110000,1512850280,9.766478
120000,1512850281,9.648342
130000,1512850281,9.525666
140000,1512850281,9.431531
150000,1512850281,9.389104
160000,1512850281,9.249973
170000,1512850282,9.180288
180000,1512850282,9.086247
190000,1512850282,8.985533
200000,1512850282,8.889226
210000,1512850282,8.823390
220000,1512850282,8.757766
230000,1512850283,8.681121
240000,1512850283,8.619127
250000,1512850283,8.597253
260000,1512850283,8.574379
270000,1512850284,8.537815
280000,1512850284,8.457268
290000,1512850284,8.432837
300000,1512850284,8.389690
310000,1512850284,8.340561
320000,1512850285,8.312936
330000,1512850285,8.288065
340000,1512850285,8.242049
350000,1512850285,8.210408
360000,1512850285,8.206856
370000,1512850286,8.205160
380000,1512850286,8.196621
390000,1512850286,8.182444
400000,1512850286,8.114589
410000,1512850287,8.092234
420000,1512850287,8.066723
430000,1512850287,8.011564
440000,1512850287,7.988529
450000,1512850287,7.976576
460000,1512850288,7.963613
470000,1512850288,7.939204
480000,1512850288,7.897823
490000,1512850288,7.880559
500000,1512850288,7.850666
510000,1512850289,7.790544
520000,1512850289,7.772819
530000,1512850289,7.754117
540000,1512850289,7.710336
550000,1512850289,7.684955
560000,1512850290,7.677015
570000,1512850290,7.665676
580000,1512850290,7.648823
590000,1512850290,7.631497
600000,1512850291,7.620928
610000,1512850291,7.610652
620000,1512850291,7.610652
630000,1512850291,7.571517
640000,1512850291,7.547185
650000,1512850292,7.523098
660000,1512850292,7.514660
670000,1512850292,7.514174
680000,1512850292,7.495854
690000,1512850292,7.461242
700000,1512850293,7.446859
710000,1512850293,7.437551
720000,1512850293,7.397804
730000,1512850293,7.382200
740000,1512850294,7.345593
750000,1512850294,7.342493
760000,1512850294,7.335677
770000,1512850294,7.304890
780000,1512850294,7.280792
790000,1512850295,7.272020
800000,1512850295,7.263236
810000,1512850295,7.256218
820000,1512850295,7.241534
830000,1512850295,7.233266
840000,1512850296,7.233266
850000,1512850296,7.216967
860000,1512850296,7.212144
870000,1512850296,7.206224
880000,1512850297,7.191092
890000,1512850297,7.186704
900000,1512850297,7.184719
910000,1512850297,7.167070
920000,1512850297,7.164084
930000,1512850298,7.164084
940000,1512850298,7.164084
950000,1512850298,7.158457
960000,1512850298,7.156530
970000,1512850299,7.156257
980000,1512850299,7.150787
990000,1512850299,7.148599
1000000,1512850299,7.139539
1010000,1512850299,7.132597
1020000,1512850300,7.131445
1030000,1512850300,7.130212
1040000,1512850300,7.126397
1050000,1512850300,7.110049
1060000,1512850301,7.100807
1070000,1512850301,7.094422
1080000,1512850301,7.094402
1090000,1512850301,7.094402
1100000,1512850301,7.094402
1110000,1512850302,7.092926
1120000,1512850302,7.087214
1130000,1512850302,7.085229
1140000,1512850302,7.079258
1150000,1512850302,7.073288
1160000,1512850303,7.064899
1170000,1512850303,7.057948
1180000,1512850303,7.051287
1190000,1512850303,7.047749
