Iterations,Seconds,Score
13380000,1512850965,8.734895
13390000,1512850965,8.726094
13400000,1512850965,8.724549
13410000,1512850965,8.724549
13420000,1512850966,8.724549
13430000,1512850966,8.724549
13440000,1512850966,8.723509
13450000,1512850966,8.723509
13460000,1512850967,8.723509
13470000,1512850967,8.723509
13480000,1512850967,8.723509
13490000,1512850967,8.723509
13500000,1512850968,8.723509
13510000,1512850968,8.723509
13520000,1512850968,8.723509
13530000,1512850968,8.723509
13540000,1512850968,8.723509
13550000,1512850969,8.723509
13560000,1512850969,8.723509
13570000,1512850969,8.723509
13580000,1512850969,8.723509
13590000,1512850969,8.723509
13600000,1512850970,8.723509
13610000,1512850970,8.722470
13620000,1512850970,8.722470
13630000,1512850970,8.722470
13640000,1512850971,8.722470
13650000,1512850971,8.722470
13660000,1512850971,8.722470
13670000,1512850971,8.722470
13680000,1512850972,8.722470
13690000,1512850972,8.711095
13700000,1512850972,8.711095
13710000,1512850972,8.711095
13720000,1512850972,8.711095
13730000,1512850973,8.711095
13740000,1512850973,8.711095
13750000,1512850973,8.711095
13760000,1512850973,8.711095
13770000,1512850974,8.711095
13780000,1512850974,8.711022
13790000,1512850974,8.711022
13800000,1512850974,8.711022
13810000,1512850975,8.711022
13820000,1512850975,8.711022
13830000,1512850975,8.711022
13840000,1512850975,8.711007
13850000,1512850975,8.711007
13860000,1512850976,8.711007
13870000,1512850976,8.711007
13880000,1512850976,8.711007
13890000,1512850976,8.711007
13900000,1512850976,8.711007
13910000,1512850977,8.711007
13920000,1512850977,8.711007
13930000,1512850977,8.711007
13940000,1512850977,8.710601
13950000,1512850978,8.707128
13960000,1512850978,8.707128
13970000,1512850978,8.703126
13980000,1512850978,8.701012
13990000,1512850978,8.700995
14000000,1512850979,8.700995
14010000,1512850979,8.700018
14020000,1512850979,8.697673
14030000,1512850979,8.697441
14040000,1512850980,8.695126
14050000,1512850980,8.695126
14060000,1512850980,8.694665
14070000,1512850980,8.694665
14080000,1512850980,8.694665
14090000,1512850981,8.694665
14100000,1512850981,8.692229
14110000,1512850981,8.692229
14120000,1512850981,8.691447
14130000,1512850982,8.691019
14140000,1512850982,8.690995
14150000,1512850982,8.688893
14160000,1512850982,8.688893
14170000,1512850982,8.688893
14180000,1512850983,8.688893
14190000,1512850983,8.688872
14200000,1512850983,8.685755
14210000,1512850983,8.685755
14220000,1512850984,8.685755
14230000,1512850984,8.684125
14240000,1512850984,8.684125
14250000,1512850984,8.667126
14260000,1512850984,8.666551
14270000,1512850985,8.658356
14280000,1512850985,8.658114
14290000,1512850985,8.658114
14300000,1512850985,8.658114
14310000,1512850986,8.657332
14320000,1512850986,8.654706
14330000,1512850986,8.654706
14340000,1512850986,8.654706
14350000,1512850986,8.652849
14360000,1512850987,8.651810
14370000,1512850987,8.651810
14380000,1512850989,8.651810
14390000,1512850989,8.651810
14400000,1512850989,8.649177
14410000,1512850989,8.625239
14420000,1512850989,8.625167
14430000,1512850990,8.625167
14440000,1512850990,8.625167
