Iterations,Seconds,Score
48130000,1513965609,14.360569
48140000,1513965609,14.360569
48150000,1513965609,14.360569
48160000,1513965610,14.360569
48170000,1513965610,14.360569
48180000,1513965610,14.358251
48190000,1513965610,14.358251
48200000,1513965611,14.358251
48210000,1513965611,14.358251
48220000,1513965611,14.358251
48230000,1513965611,14.358251
48240000,1513965612,14.358251
48250000,1513965612,14.358251
48260000,1513965612,14.358251
48270000,1513965612,14.358251
48280000,1513965612,14.358251
48290000,1513965613,14.358251
48300000,1513965613,14.358251
48310000,1513965613,14.358251
48320000,1513965613,14.358251
48330000,1513965613,14.358251
48340000,1513965614,14.358251
48350000,1513965614,14.358251
48360000,1513965614,14.358251
48370000,1513965614,14.358251
48380000,1513965615,14.358251
48390000,1513965615,14.358251
48400000,1513965615,14.357238
48410000,1513965615,14.357238
48420000,1513965616,14.357238
48430000,1513965616,14.357238
48440000,1513965616,14.357238
48450000,1513965616,14.357238
48460000,1513965616,14.357238
48470000,1513965619,14.357238
48480000,1513965619,14.357238
48490000,1513965619,14.357238
48500000,1513965619,14.357238
48510000,1513965619,14.357238
48520000,1513965620,14.357238
48530000,1513965620,14.357238
48540000,1513965620,14.357238
48550000,1513965620,14.353769
48560000,1513965621,14.353769
48570000,1513965621,14.353769
48580000,1513965621,14.353769
