Iterations,Seconds,Score
10000,1512849903,16.075939
20000,1512849903,13.402980
30000,1512849903,12.362880
40000,1512849904,11.897375
50000,1512849904,11.560196
60000,1512849904,11.111350
70000,1512849904,10.883723
80000,1512849904,10.658655
90000,1512849905,10.462030
100000,1512849905,10.298300
110000,1512849905,10.046198
120000,1512849905,9.901720
130000,1512849905,9.642430
140000,1512849905,9.481190
150000,1512849906,9.352016
160000,1512849906,9.183757
170000,1512849906,9.043764
180000,1512849906,8.950861
190000,1512849906,8.820905
200000,1512849907,8.744645
210000,1512849907,8.691497
220000,1512849907,8.551731
230000,1512849907,8.513487
240000,1512849907,8.465559
250000,1512849908,8.361909
260000,1512849908,8.344675
270000,1512849908,8.315932
280000,1512849908,8.270711
290000,1512849908,8.243047
300000,1512849909,8.223835
310000,1512849909,8.201166
320000,1512849909,8.160363
330000,1512849909,8.102046
340000,1512849910,8.043358
350000,1512849910,8.038697
360000,1512849910,8.027767
370000,1512849910,8.006948
380000,1512849910,7.981809
390000,1512849911,7.955440
400000,1512849911,7.918163
410000,1512849911,7.830991
420000,1512849911,7.823777
430000,1512849912,7.790362
440000,1512849912,7.766098
450000,1512849912,7.759254
460000,1512849912,7.718788
470000,1512849912,7.691154
480000,1512849913,7.688231
490000,1512849913,7.684326
500000,1512849913,7.683374
510000,1512849913,7.680164
520000,1512849914,7.671208
530000,1512849914,7.667981
540000,1512849914,7.648093
550000,1512849914,7.611179
560000,1512849914,7.591983
570000,1512849915,7.583427
580000,1512849915,7.569859
590000,1512849915,7.546645
600000,1512849915,7.494944
610000,1512849916,7.480471
620000,1512849916,7.477948
630000,1512849916,7.477264
640000,1512849916,7.441800
650000,1512849916,7.423133
660000,1512849917,7.411368
670000,1512849917,7.380667
680000,1512849917,7.353888
690000,1512849917,7.345842
700000,1512849918,7.326645
710000,1512849918,7.319009
720000,1512849918,7.319009
730000,1512849918,7.317039
740000,1512849918,7.290255
750000,1512849919,7.276835
760000,1512849919,7.270837
770000,1512849919,7.267266
780000,1512849919,7.262784
790000,1512849920,7.256495
800000,1512849920,7.235498
810000,1512849920,7.232922
820000,1512849920,7.229772
830000,1512849920,7.224252
840000,1512849921,7.220086
850000,1512849921,7.215011
860000,1512849921,7.204005
870000,1512849921,7.190369
880000,1512849922,7.186543
890000,1512849922,7.179047
900000,1512849922,7.176365
910000,1512849922,7.175728
920000,1512849923,7.174056
930000,1512849923,7.161745
940000,1512849923,7.150333
950000,1512849923,7.147581
960000,1512849924,7.143088
970000,1512849924,7.139449
980000,1512849924,7.127785
990000,1512849924,7.116532
1000000,1512849924,7.090450
1010000,1512849925,7.087479
1020000,1512849925,7.087115
1030000,1512849925,7.084649
1040000,1512849925,7.084127
1050000,1512849926,7.072555
1060000,1512849926,7.067552
1070000,1512849926,7.065948
1080000,1512849926,7.051837
1090000,1512849926,7.028468
1100000,1512849927,7.024734
1110000,1512849927,7.016142
1120000,1512849927,7.003335
1130000,1512849927,6.999035
1140000,1512849928,6.997955
1150000,1512849928,6.968586
1160000,1512849928,6.968344
1170000,1512849928,6.952590
1180000,1512849929,6.944354
1190000,1512849929,6.936763
1200000,1512849929,6.935148
1210000,1512849929,6.919831
1220000,1512849929,6.907526
1230000,1512849930,6.900781
1240000,1512849930,6.882346
1250000,1512849930,6.861834
1260000,1512849930,6.854209
1270000,1512849931,6.846388
1280000,1512849931,6.845400
1290000,1512849931,6.844731
1300000,1512849931,6.843202
1310000,1512849932,6.843202
1320000,1512849932,6.842589
1330000,1512849932,6.842589
1340000,1512849932,6.824006
1350000,1512849933,6.823577
1360000,1512849933,6.815869
1370000,1512849933,6.814612
