Iterations,Seconds,Score
20650000,1512848047,9.516179
20660000,1512848048,9.516179
20670000,1512848048,9.516179
20680000,1512848048,9.516179
20690000,1512848048,9.516179
20700000,1512848048,9.516179
20710000,1512848049,9.516179
20720000,1512848049,9.514589
20730000,1512848049,9.514589
20740000,1512848049,9.514589
20750000,1512848049,9.514589
20760000,1512848049,9.514589
20770000,1512848050,9.514589
20780000,1512848050,9.514589
20790000,1512848050,9.514589
20800000,1512848050,9.513209
20810000,1512848051,9.511842
20820000,1512848051,9.511778
20830000,1512848051,9.511778
20840000,1512848051,9.509907
20850000,1512848051,9.509066
20860000,1512848052,9.509066
20870000,1512848052,9.509066
20880000,1512848052,9.507147
20890000,1512848052,9.507147
20900000,1512848052,9.507147
20910000,1512848053,9.507147
20920000,1512848053,9.507147
20930000,1512848053,9.507147
20940000,1512848053,9.507076
20950000,1512848053,9.507076
20960000,1512848054,9.507076
20970000,1512848054,9.507076
20980000,1512848054,9.497909
20990000,1512848054,9.496107
21000000,1512848054,9.494766
21010000,1512848055,9.494766
21020000,1512848055,9.494766
21030000,1512848055,9.494766
21040000,1512848055,9.494766
21050000,1512848055,9.494766
21060000,1512848056,9.492909
21070000,1512848056,9.492909
21080000,1512848056,9.492909
21090000,1512848056,9.492909
21100000,1512848057,9.492909
21110000,1512848057,9.492909
21120000,1512848057,9.492909
21130000,1512848057,9.492909
21140000,1512848057,9.492909
21150000,1512848057,9.492909
21160000,1512848058,9.492909
21170000,1512848058,9.492909
21180000,1512848058,9.492909
21190000,1512848058,9.492909
21200000,1512848058,9.492164
21210000,1512848059,9.492164
21220000,1512848059,9.492164
21230000,1512848059,9.492164
21240000,1512848059,9.492160
21250000,1512848060,9.492160
21260000,1512848060,9.492160
21270000,1512848060,9.492160
21280000,1512848060,9.492160
21290000,1512848060,9.492160
21300000,1512848060,9.492160
21310000,1512848061,9.492160
21320000,1512848061,9.492160
21330000,1512848061,9.492160
21340000,1512848061,9.492160
21350000,1512848062,9.492160
21360000,1512848062,9.492160
21370000,1512848062,9.492160
21380000,1512848062,9.492160
21390000,1512848062,9.492160
21400000,1512848063,9.492160
21410000,1512848063,9.492160
21420000,1512848063,9.492160
21430000,1512848063,9.492160
21440000,1512848063,9.491709
21450000,1512848064,9.491709
21460000,1512848064,9.491709
21470000,1512848064,9.491709
21480000,1512848064,9.491709
21490000,1512848064,9.491709
21500000,1512848065,9.491709
21510000,1512848065,9.491709
21520000,1512848065,9.491709
21530000,1512848065,9.491709
21540000,1512848065,9.491709
21550000,1512848066,9.491709
21560000,1512848066,9.491709
21570000,1512848066,9.491709
21580000,1512848066,9.491709
21590000,1512848066,9.491709
21600000,1512848067,9.491709
21610000,1512848067,9.491709
21620000,1512848067,9.491709
21630000,1512848067,9.491709
21640000,1512848067,9.491709
21650000,1512848068,9.491709
21660000,1512848068,9.491709
21670000,1512848068,9.491709
21680000,1512848068,9.491709
21690000,1512848068,9.491709
21700000,1512848069,9.491709
21710000,1512848069,9.491709
21720000,1512848069,9.491709
21730000,1512848069,9.491709
21740000,1512848069,9.491709
21750000,1512848070,9.491709
21760000,1512848070,9.491709
21770000,1512848070,9.491709
21780000,1512848070,9.491709
21790000,1512848070,9.491709
21800000,1512848071,9.491709
21810000,1512848071,9.491709
21820000,1512848071,9.491709
21830000,1512848071,9.491709
21840000,1512848071,9.491709
21850000,1512848072,9.491709
21860000,1512848072,9.485038
21870000,1512848072,9.485038
21880000,1512848072,9.485038
21890000,1512848072,9.485038
21900000,1512848073,9.485038
21910000,1512848073,9.485038
21920000,1512848073,9.485038
21930000,1512848073,9.485038
21940000,1512848073,9.485038
21950000,1512848074,9.485038
21960000,1512848074,9.485038
21970000,1512848074,9.485038
21980000,1512848074,9.485038
21990000,1512848074,9.485038
22000000,1512848075,9.485038
22010000,1512848075,9.485038
22020000,1512848075,9.485038
22030000,1512848075,9.485038
22040000,1512848075,9.485038
22050000,1512848076,9.485038
22060000,1512848076,9.485038
22070000,1512848076,9.485038
22080000,1512848076,9.485038
22090000,1512848076,9.485038
22100000,1512848077,9.485038
22110000,1512848077,9.485038
22120000,1512848077,9.485038
22130000,1512848077,9.485038
22140000,1512848077,9.485038
22150000,1512848078,9.485038
22160000,1512848078,9.485038
22170000,1512848078,9.485038
22180000,1512848078,9.485038
22190000,1512848078,9.485038
22200000,1512848079,9.485038
22210000,1512848079,9.485038
22220000,1512848079,9.485038
22230000,1512848079,9.485038
22240000,1512848079,9.485038
22250000,1512848080,9.485038
22260000,1512848080,9.485038
22270000,1512848080,9.485038
22280000,1512848080,9.485038
22290000,1512848080,9.485038
22300000,1512848081,9.485038
22310000,1512848081,9.485038
22320000,1512848081,9.483659
22330000,1512848081,9.483659
22340000,1512848081,9.483659
22350000,1512848082,9.483659
22360000,1512848082,9.483659
22370000,1512848082,9.483659
22380000,1512848082,9.483659
22390000,1512848082,9.483659
22400000,1512848083,9.483659
22410000,1512848083,9.483659
22420000,1512848083,9.483659
22430000,1512848083,9.483659
22440000,1512848083,9.483659
22450000,1512848084,9.478015
22460000,1512848084,9.478015
22470000,1512848084,9.478015
22480000,1512848084,9.478015
22490000,1512848084,9.478015
22500000,1512848085,9.478015
22510000,1512848085,9.478015
22520000,1512848085,9.478015
22530000,1512848085,9.478015
22540000,1512848086,9.478015
22550000,1512848086,9.478015
22560000,1512848086,9.478015
22570000,1512848086,9.478015
22580000,1512848086,9.478015
22590000,1512848086,9.478015
22600000,1512848087,9.478015
22610000,1512848087,9.478015
22620000,1512848087,9.478015
22630000,1512848087,9.478015
22640000,1512848087,9.478015
22650000,1512848088,9.478015
22660000,1512848088,9.478015
22670000,1512848088,9.478015
22680000,1512848088,9.478015
22690000,1512848089,9.478015
22700000,1512848089,9.478015
22710000,1512848089,9.478015
22720000,1512848089,9.478015
22730000,1512848089,9.478015
22740000,1512848089,9.478015
22750000,1512848090,9.478015
22760000,1512848090,9.478015
22770000,1512848090,9.478015
22780000,1512848090,9.478015
22790000,1512848090,9.478015
22800000,1512848091,9.478015
22810000,1512848091,9.478015
22820000,1512848091,9.478015
22830000,1512848091,9.478015
22840000,1512848092,9.478015
22850000,1512848092,9.478015
22860000,1512848092,9.478015
22870000,1512848092,9.478015
22880000,1512848092,9.478015
22890000,1512848092,9.478015
22900000,1512848093,9.478015
22910000,1512848093,9.478015
22920000,1512848093,9.478015
22930000,1512848093,9.478015
22940000,1512848093,9.478015
22950000,1512848094,9.478015
22960000,1512848094,9.478015
22970000,1512848094,9.478015
22980000,1512848094,9.478015
22990000,1512848095,9.478015
23000000,1512848095,9.478015
23010000,1512848095,9.478015
23020000,1512848095,9.478015
23030000,1512848095,9.478015
23040000,1512848095,9.478015
23050000,1512848096,9.478015
23060000,1512848096,9.478015
23070000,1512848096,9.478015
23080000,1512848096,9.478015
23090000,1512848096,9.478015
23100000,1512848097,9.478015
23110000,1512848097,9.478015
23120000,1512848097,9.478015
23130000,1512848097,9.478015
23140000,1512848098,9.478015
23150000,1512848098,9.478015
23160000,1512848098,9.478015
23170000,1512848098,9.478015
23180000,1512848098,9.471581
23190000,1512848099,9.471581
23200000,1512848099,9.471581
23210000,1512848099,9.471581
23220000,1512848099,9.471581
23230000,1512848099,9.471581
23240000,1512848100,9.471581
23250000,1512848100,9.471581
23260000,1512848100,9.471581
23270000,1512848100,9.471581
23280000,1512848100,9.471581
23290000,1512848101,9.471581
23300000,1512848101,9.471581
23310000,1512848101,9.471581
23320000,1512848101,9.471581
23330000,1512848101,9.468162
23340000,1512848102,9.468162
23350000,1512848102,9.468162
23360000,1512848102,9.468162
23370000,1512848102,9.468162
23380000,1512848102,9.468162
23390000,1512848103,9.468162
23400000,1512848103,9.468162
23410000,1512848103,9.468162
23420000,1512848103,9.468162
23430000,1512848103,9.468162
23440000,1512848104,9.468162
23450000,1512848104,9.468162
23460000,1512848104,9.468162
23470000,1512848104,9.468162
23480000,1512848104,9.467811
23490000,1512848105,9.467811
23500000,1512848105,9.467811
23510000,1512848105,9.467811
23520000,1512848105,9.467811
23530000,1512848105,9.467811
23540000,1512848105,9.467811
23550000,1512848106,9.467811
23560000,1512848106,9.467811
23570000,1512848106,9.467811
23580000,1512848106,9.467811
23590000,1512848107,9.467811
23600000,1512848107,9.467811
23610000,1512848107,9.467811
23620000,1512848107,9.467811
23630000,1512848107,9.467811
23640000,1512848107,9.467206
23650000,1512848108,9.467206
23660000,1512848108,9.467206
23670000,1512848108,9.467206
23680000,1512848108,9.467206
23690000,1512848109,9.467206
23700000,1512848109,9.467206
23710000,1512848109,9.467206
23720000,1512848109,9.467206
23730000,1512848109,9.467206
23740000,1512848110,9.467206
23750000,1512848110,9.467206
23760000,1512848110,9.467206
23770000,1512848110,9.467206
23780000,1512848110,9.467206
23790000,1512848111,9.467206
23800000,1512848111,9.467206
23810000,1512848111,9.467206
